Title	DOI	Abstract	MeSH_Terms	Pubmed link	drug_name_list	pubchem_id_list	PMID	Pubdate
Diurnal changes in glutamate + glutamine levels of healthy young adults assessed by proton magnetic resonance spectroscopy.	DOI: 10.1002/hbm.24225	The glutamatergic α-amino-3-hydroxy-5-methyl-4-isoxazolepropionic acid (AMPA) receptor is involved in synaptic plasticity processes, and animal studies have demonstrated altered expression across the sleep wake cycle. Accordingly, glutamate levels are reduced during non-rapid eye movement (NREM) sleep and the rate of this decrease is positively correlated with sleep EEG slow wave activity (SWA). Here, we combined proton magnetic resonance spectroscopy (1 H-MRS) and high-density sleep EEG to assess if 1 H-MRS is sensitive to diurnal changes of glutamate + glutamine (GLX) in healthy young adults and if potential overnight changes of GLX are correlated to SWA. 1 H-MRS was measured in the parietal lobe in the evening and in the subsequent morning. High-density sleep EEG was recorded overnight between the evening and morning scans. Our results revealed a significant overnight reduction in GLX, but no significant changes in other metabolites. The decrease in GLX positively correlated with the decrease of SWA. Our study demonstrates that quantification of diurnal changes in GLX is possible by means of 1 H-MRS and indicates that overnight changes in GLX are related to SWA, a marker that is closely linked to the restorative function of sleep. This relationship might be of particular interest in clinical populations in which sleep is disturbed.	['Adolescent', 'Adult', 'Brain Wavesphysiology', 'Cerebral Cortexdiagnostic imagingmetabolismphysiology', 'Circadian Rhythmphysiology', 'Electroencephalographymethods', 'Female', 'Glutamic Acidmetabolism', 'Glutaminemetabolism', 'Humans', 'Male', 'Proton Magnetic Resonance Spectroscopymethods', 'Sleepphysiology', 'Young Adult']	https://pubmed.ncbi.nlm.nih.gov/29885049/	['L-Glutamic Acid', '(S)-AMPA', 'L-glutamine']	[33032, 158397, 5961]	29885049	['2018', 'Oct']
Glutamatergic deficit and schizophrenia-like negative symptoms: new evidence from ketamine-induced mismatch negativity alterations in healthy male humans.	DOI: 10.1503/jpn.160187	Targeting the N-methyl-D-aspartate receptor (NMDAR) is a major translational approach for treating negative symptoms of schizophrenia. Ketamine comprehensively produces schizophrenia-like symptoms, such as positive, cognitive and negative symptoms in healthy volunteers. The amplitude of the mismatch negativity (MMN) is known to be significantly reduced not only in patients with schizophrenia, but also in healthy controls receiving ketamine. Accordingly, it was the aim of the present study to investigate whether changes of MMN amplitudes during ketamine administration are associated with the emergence of schizophrenia-like negative symptoms in healthy volunteers.	['Adult', 'Braindrug effectsphysiology', 'Evoked Potentials, Auditorydrug effects', 'Excitatory Amino Acid Antagonistspharmacology', 'Glutamic Acidmetabolism', 'Healthy Volunteerspsychology', 'Humans', 'Ketaminepharmacology', 'Male', 'Receptors, N-Methyl-D-Aspartatemetabolism', 'Schizophreniachemically induceddiagnosis', 'Single-Blind Method', 'Young Adult']	https://pubmed.ncbi.nlm.nih.gov/28556775/	['L-Glutamic Acid']	[33032]	28556775	['2017', 'Jun']
Reduced Mismatch Negativity is Associated with Increased Plasma Level of Glutamate in First-episode Psychosis.	DOI: 10.1038/s41598-017-02267-1	Reduced amplitude of mismatch negativity (MMN) is one of the more promising biological markers of schizophrenia. This finding holds true in both early and chronic phases of the disorder, and is compatible with the glutamatergic dysfunction hypothesis. To further establish MMN as a biomarker of aberrant glutamatergic neurotransmission, an exploration for an association with blood levels of glutamatergic amino acids is an important next step. Despite a large body of work investigating MMN in schizophrenia, no previous studies have undertaken this endeavor. Nineteen patients with first-episode psychosis (FEP), 21 ultra-high risk individuals (UHR), and 16 healthy controls (HC) participated in the study. The MMNs in response to duration change (dMMN) and frequency change (fMMN) were measured. The fasting plasma levels of glutamate, glutamine, glycine, D-serine, and L-serine were measured. dMMN amplitudes were significantly reduced in FEP and UHR, compared to HC. The plasma levels of glutamate of FEP were significantly higher than those of HC. Higher plasma levels of glutamate were associated with smaller dMMN amplitudes in the FEP and HC groups. These findings are compatible with the hypothesis that MMN is a useful biological marker of aberrant glutamatergic neurotransmission in the early stages of schizophrenia.	['Adolescent', 'Adult', 'Amino Acidsblood', 'Biomarkers', 'Electroencephalography', 'Evoked Potentials', 'Female', 'Glutamic Acidblood', 'Humans', 'Male', 'Neuropsychological Tests', 'Personality', 'Psychotic Disordersblooddiagnosispsychology', 'Severity of Illness Index', 'Young Adult']	https://pubmed.ncbi.nlm.nih.gov/28536477/	['L-Glutamic Acid', 'Glycine', 'L-serine', 'D-Serine', 'L-glutamine']	[33032, 750, 5951, 71077, 5961]	28536477	['2017', 'May']
GABA metabolism and its role in gamma-band oscillatory activity during auditory processing: An MRS and EEG study.	DOI: 10.1002/hbm.23642	Gamma-aminobutyric acid (GABA) and glutamate are believed to have inhibitory and exhibitory neuromodulatory effects that regulate the brain's response to sensory perception. Furthermore, frequency-specific synchronization of neuronal excitability within the gamma band (30-80 Hz) is attributable to a homeostatic balance between excitation and inhibition. However, our understanding of the physiological mechanism underlying gamma rhythms is based on animal models. Investigations of the relationship between GABA concentrations, glutamate concentrations, and gamma band activity in humans were mostly restricted to the visual cortex and are conflicting. Here, we performed a multimodal imaging study combining magnetic resonance spectroscopy (MRS) with electroencephalography (EEG) in the auditory cortex. In 14 healthy subjects, we investigated the impact of individual differences in GABA and glutamate concentration on gamma band response (GBR) following auditory stimulus presentation. We explored the effects of bulk GABA on the GBR across frequency (30-200 Hz) and time (-200 to 600 ms) and found no significant relationship. Furthermore, no correlations were found between gamma peak frequency or power measures and metabolite concentrations (GABA, glutamate, and GABA/glutamate ratio). These findings suggest that, according to MRS measurements, and given the auditory stimuli used in this study, GABA and glutamate concentrations are unlikely to play a significant role in the inhibitory and excitatory drive in the generation of gamma band activity in the auditory cortex. Hum Brain Mapp 38:3975-3987, 2017. © 2017 Wiley Periodicals, Inc.	['Acoustic Stimulation', 'Adult', 'Auditory Cortexdiagnostic imagingphysiology', 'Auditory Perceptionphysiology', 'Electroencephalography', 'Gamma Rhythmphysiology', 'Glutamic Acidmetabolism', 'Humans', 'Magnetic Resonance Imaging', 'Male', 'Multimodal Imaging', 'Proton Magnetic Resonance Spectroscopy', 'Young Adult', 'gamma-Aminobutyric Acidmetabolism']	https://pubmed.ncbi.nlm.nih.gov/28480987/	['L-Glutamic Acid']	[33032]	28480987	['2017', 'Aug']
Evidence for cognitive resource imbalance in adolescents with narcolepsy.	DOI: 10.1007/s11682-017-9706-y	The study investigated brain activity changes during performance of a verbal working memory task in a population of adolescents with narcolepsy. Seventeen narcolepsy patients and twenty healthy controls performed a verbal working memory task during simultaneous fMRI and EEG acquisition. All subjects also underwent MRS to measure GABA and Glutamate concentrations in the medial prefrontal cortex. Activation levels in the default mode network and left middle frontal gyrus were examined to investigate whether narcolepsy is characterized by an imbalance in cognitive resources. Significantly increased deactivation within the default mode network during task performance was observed for the narcolepsy patients for both the encoding and recognition phases of the task. No evidence for task performance deficits or reduced activation within the left middle frontal gyrus was noted for the narcolepsy patients. Correlation analyses between the spectroscopy and fMRI data indicated that deactivation of the anterior aspect of the default mode in narcolepsy patients correlated more with increased concentrations of Glutamate and decreased concentrations of GABA. In contrast, deactivation in the default mode was correlated with increased concentrations of GABA and decreased concentrations of Glutamate in controls. The results suggested that narcolepsy is not characterized by a deficit in working memory but rather an imbalance of cognitive resources in favor of monitoring and maintaining attention over actual task performance. This points towards dysregulation within the sustained attention system being the origin behind self-reported cognitive difficulties in narcolepsy.	['Adolescent', 'Braindiagnostic imagingphysiopathology', 'Cognitionphysiology', 'Electroencephalography', 'Female', 'Glutamic Acidmetabolism', 'Humans', 'Magnetic Resonance Imaging', 'Magnetic Resonance Spectroscopy', 'Male', 'Narcolepsydiagnostic imagingphysiopathologypsychology', 'Neural Pathwaysdiagnostic imagingphysiopathology', 'Speechphysiology', 'Speech Perceptionphysiology', 'Young Adult', 'gamma-Aminobutyric Acidmetabolism']	https://pubmed.ncbi.nlm.nih.gov/28321606/	['L-Glutamic Acid']	[33032]	28321606	['2018', 'Apr']
Characterization of the influence of age on GABAA and glutamatergic mediated functions in the dorsolateral prefrontal cortex using paired-pulse TMS-EEG.	DOI: 10.18632/aging.101178	Gamma-aminobutyric acid (GABA)ergic and glutamatergic neurotransmissions in the prefrontal cortex decreases with age. Further, cognitive function mediated through the dorsolateral prefrontal cortex (DLPFC) also declines with age. Although neuroimaging studies have demonstrated decreased levels of these substances, direct neurophysiological data investigating the effect of aging in the DLPFC in human subjects is lacking. The advent of transcranial magnetic stimulation (TMS) combined with electroencephalography (EEG) has allowed for the assessment of functional neurotransmission in vivo. In the present study, we examined short interval intracortical inhibition (SICI) and intracortical facilitation (ICF) in a group of older adults (> 60 yrs) to evaluate the strength of GABAA and glutamate-mediated neurotransmission in the DLPFC, compared to younger adults (18-59 yrs). Older adults showed an increase of amplitude of N100 by the SICI paradigm, while N45 amplitude was increased and N100 amplitude was decreased by ICF. Moreover, these modulations significantly correlated with age. Our findings provide evidence for age-related alterations of excitatory and inhibitory functions in the prefrontal cortex in healthy adults. Future studies may aim to explore these neurophysiological relationships in the DLPFC in pathological forms of aging that affect cortical functioning such as mild cognitive impairment and Alzheimer's disease.	['Adolescent', 'Adult', 'Age Factors', 'Aged', 'Aged, 80 and over', 'Agingphysiology', 'Electroencephalography', 'Electromyography', 'Female', 'Glutamic Acidphysiology', 'Humans', 'Male', 'Middle Aged', 'Prefrontal Cortexphysiology', 'Receptors, GABA-Aphysiology', 'Receptors, Glutamatephysiology', 'Transcranial Magnetic Stimulation', 'Young Adult', 'gamma-Aminobutyric Acidphysiology']	https://pubmed.ncbi.nlm.nih.gov/28209926/	['L-Glutamic Acid']	[33032]	28209926	['2017', 'Feb']
Microstructural and functional correlates of glutamate concentration in the posterior cingulate cortex.	DOI: 10.1002/jnr.24010	Glutamate is the major excitatory neurotransmitter in the human brain and has a central role in both intrinsic and stimulus-induced activity. We conducted a study in a cohort of healthy, male volunteers in which glutamate levels were measured in the posterior cingulate cortex (PCC) using 1H magnetic resonance spectroscopy at 3T. The advantages of simultaneous electroencephalography and magnetic resonance imaging (EEG-MRI) were exploited and the subjects were measured in the same session and under the same physiological conditions. Diffusion tensor imaging (DTI), functional MRI (fMRI) and EEG were measured in order to investigate the functional and microstructural correlates of glutamate. The concentration of glutamate (institute units) was calculated and those values were tested for correlation with the metrics of resting state fMRI, DTI, and EEG electrical sources. Our results showed that the concentration of glutamate in the PCC had a significant negative correlation with the tissue mean diffusivity in the same area. The analysis of resting state networks did not show any relationship between the concentration of glutamate and the intrinsic activity of the resting state networks. The concentration of glutamate showed a positive correlation with the electrical generators of α-1 frequency and a negative correlation with the generators of α-2 and β-1 electrical generators. © 2017 Wiley Periodicals, Inc.	['Adult', 'Brain Chemistryphysiology', 'Diffusion Magnetic Resonance Imaging', 'Electroencephalography', 'Glutamic Acidanalysismetabolism', 'Gyrus Cingulianatomy & histologymetabolism', 'Humans', 'Magnetic Resonance Imaging', 'Magnetic Resonance Spectroscopy', 'Male']	https://pubmed.ncbi.nlm.nih.gov/28117486/	['L-Glutamic Acid']	[33032]	28117486	['2017', 'Sep']
Prefrontal White Matter Structure Mediates the Influence of GAD1 on Working Memory.	DOI: 10.1038/npp.2016.14	The glutamic acid decarboxylase 1 (GAD1) gene is a major determinant of γ-aminobutyric acid (GABA), the most abundant inhibitory neurotransmitter modulating local neuronal circuitry. GABAergic dysfunction and expression of GAD1 have been implicated in the pathophysiology of schizophrenia, and in working memory impairment. We examined the influence of the functional GAD1 rs3749034 variant on white matter fractional anisotropy (FA), cortical thickness, and working memory performance in schizophrenia patients and healthy controls (N=197). Using transcranial magnetic stimulation with electroencephalography (TMS-EEG), we subsequently examined the effect of rs3749034 on long-interval cortical inhibition (LICI) in the dorsolateral prefrontal cortex (DLPFC) in schizophrenia patients and healthy controls (N=66). We found that the rs3749034 T-allele carrier risk group had lower voxel-wise FA in the prefrontal cortex region (PFWE-corrected<0.05) but not cortical thickness. Mixed-model regression revealed a significant effect on attentional processing and working memory across four performance measures (F1,182=11.5, P=8 × 10(-4)). FA in the prefrontal cortex was associated with digit-span performance. Voxel-wise mediation analysis revealed that the effect GAD1 on poorer digit-span performance statistically predicted the lower white matter FA (PFWE-corrected<0.05). In exploratory analysis, we found a prominent GAD1 genotype-by-diagnosis interaction on DLPFC LICI (F1,56=14.3, P=4.1 × 10(-4)). Our findings converge on variation in GAD1 gene predicting a susceptibility mechanism that affects white matter FA, GABAergic inhibitory neurotransmission in the DLPFC, and working memory performance. Furthermore, via voxel mediation of FA and TMS-EEG intervention, we provide evidence for a potentially causal mechanism through which aberrant DLPFC GABA signaling may contribute to working memory dysfunction.	['Adult', 'Diffusion Magnetic Resonance Imaging', 'Electroencephalography', 'Female', 'Glutamate Decarboxylasegeneticsphysiology', 'Humans', 'Male', 'Memory, Short-Term', 'Middle Aged', 'Neural Inhibition', 'Polymorphism, Single Nucleotide', 'Prefrontal Cortexdiagnostic imagingpathology', 'Schizophreniadiagnostic imagingenzymologygeneticspathology', 'Schizophrenic Psychology', 'Transcranial Magnetic Stimulation', 'White Matterdiagnostic imagingpathology']	https://pubmed.ncbi.nlm.nih.gov/26822489/	['L-Glutamic Acid']	[33032]	26822489	['2016', 'Aug']
Multivariate genetic determinants of EEG oscillations in schizophrenia and psychotic bipolar disorder from the BSNIP study.	DOI: 10.1038/tp.2015.76	Schizophrenia (SZ) and psychotic bipolar disorder (PBP) are disabling psychiatric illnesses with complex and unclear etiologies. Electroencephalogram (EEG) oscillatory abnormalities in SZ and PBP probands are heritable and expressed in their relatives, but the neurobiology and genetic factors mediating these abnormalities in the psychosis dimension of either disorder are less explored. We examined the polygenic architecture of eyes-open resting state EEG frequency activity (intrinsic frequency) from 64 channels in 105 SZ, 145 PBP probands and 56 healthy controls (HCs) from the multisite BSNIP (Bipolar-Schizophrenia Network on Intermediate Phenotypes) study. One million single-nucleotide polymorphisms (SNPs) were derived from DNA. We assessed eight data-driven EEG frequency activity derived from group-independent component analysis (ICA) in conjunction with a reduced subset of 10,422 SNPs through novel multivariate association using parallel ICA (para-ICA). Genes contributing to the association were examined collectively using pathway analysis tools. Para-ICA extracted five frequency and nine SNP components, of which theta and delta activities were significantly correlated with two different gene components, comprising genes participating extensively in brain development, neurogenesis and synaptogenesis. Delta and theta abnormality was present in both SZ and PBP, while theta differed between the two disorders. Theta abnormalities were also mediated by gene clusters involved in glutamic acid pathways, cadherin and synaptic contact-based cell adhesion processes. Our data suggest plausible multifactorial genetic networks, including novel and several previously identified (DISC1) candidate risk genes, mediating low frequency delta and theta abnormalities in psychoses. The gene clusters were enriched for biological properties affecting neural circuitry and involved in brain function and/or development.	['Adult', 'Bipolar Disordergeneticsphysiopathology', 'Braingrowth & development', 'Brain Wavesgeneticsphysiology', 'Case-Control Studies', 'Cell Adhesiongenetics', 'Delta Rhythmgeneticsphysiology', 'Electroencephalography', 'Female', 'Humans', 'Male', 'Middle Aged', 'Multivariate Analysis', 'Neurogenesisgenetics', 'Polymorphism, Single Nucleotide', 'Schizophreniageneticsphysiopathology', 'Theta Rhythmgeneticsphysiology', 'Young Adult']	https://pubmed.ncbi.nlm.nih.gov/26101851/	['L-Glutamic Acid']	[33032]	26101851	['2015', 'Jun']
GABA/Glutamate synaptic pathways targeted by integrative genomic and electrophysiological explorations distinguish autism from intellectual disability.	DOI: 10.1038/mp.2015.75	Phenotypic and genetic heterogeneity is predominant in autism spectrum disorders (ASD), for which the molecular and pathophysiological bases are still unclear. Significant comorbidity and genetic overlap between ASD and other neurodevelopmental disorders are also well established. However, little is understood regarding the frequent observation of a wide phenotypic spectrum associated with deleterious mutations affecting a single gene even within multiplex families. We performed a clinical, neurophysiological (in vivo electroencephalography-auditory-evoked related potentials) and genetic (whole-exome sequencing) follow-up analysis of two families with known deleterious NLGN4X gene mutations (either truncating or overexpressing) present in individuals with ASD and/or with intellectual disability (ID). Complete phenotypic evaluation of the pedigrees in the ASD individuals showed common specific autistic behavioural features and neurophysiological patterns (abnormal MisMatch Negativity in response to auditory change) that were absent in healthy parents as well as in family members with isolated ID. Whole-exome sequencing in ASD patients from each family identified a second rare inherited genetic variant, affecting either the GLRB or the ANK3 genes encoding NLGN4X interacting proteins expressed in inhibitory or in excitatory synapses, respectively. The GRLB and ANK3 mutations were absent in relatives with ID as well as in control databases. In summary, our findings provide evidence of a double-hit genetic model focused on excitatory/inhibitory synapses in ASD, that is not found in isolated ID, associated with an atypical in vivo neurophysiological pattern linked to predictive coding.	['Acoustic Stimulation', 'Autistic Disordercomplicationsgenetics', 'Cell Adhesion Molecules, Neuronalgenetics', 'Child, Preschool', 'Electroencephalography', 'Evoked Potentials, Auditorygeneticsphysiology', 'Family Health', 'Female', 'Follow-Up Studies', 'Genetic Predisposition to Disease', 'Genomics', 'Glutamic Acid', 'Humans', 'Intellectual Disabilityetiology', 'Male', 'Severity of Illness Index', 'Signal Transductiongenetics', 'gamma-Aminobutyric Acid']	https://pubmed.ncbi.nlm.nih.gov/26055424/	['L-Glutamic Acid']	[33032]	26055424	['2016', 'Mar']
Resting-state glutamatergic neurotransmission is related to the peak latency of the auditory mismatch negativity (MMN) for duration deviants: An (1)H-MRS-EEG study.	DOI: 10.1111/psyp.12445	Mismatch negativity (MMN), an ERP elicited by a deviant stimulus in a train of standard stimuli, has been suggested to be associated to glutamatergic neurotransmission, mediated by glutamatergic NMDA receptors. In this study, we examined the relationship between interindividual variation of (1)H-MRS-measured glutamate+glutamine (Glx) in the superior temporal gyrus and MMN for duration and frequency deviants in 19 healthy young adults (9 male). We found a significant relationship between the peak latency of the duration-MMN peak and creatine-scaled Glx (p = .0003, η(2)  = .43), with increased Glx level being associated to earlier peak of the duration-MMN (r = -.63). In contrast, the amplitude of the duration-MMN was not related to Glx. There was no significant relationship between Glx and the frequency-MMN. The present study is the first to demonstrate that interindividual variation in the glutamatergic neurotransmission affects the MMN response in healthy individuals.	['Acoustic Stimulation', 'Adult', 'Auditory Perceptionphysiology', 'Brain Mapping', 'Contingent Negative Variationphysiology', 'Electroencephalography', 'Evoked Potentials, Auditoryphysiology', 'Female', 'Glutamic Acidmetabolism', 'Glutaminemetabolism', 'Humans', 'Magnetic Resonance Spectroscopy', 'Male', 'Synaptic Transmissionphysiology', 'Temporal Lobemetabolismphysiology', 'Young Adult']	https://pubmed.ncbi.nlm.nih.gov/25917405/	['L-Glutamic Acid', 'L-glutamine']	[33032, 5961]	25917405	['2015', 'Sep']
Frontal P3 event-related potential is related to brain glutamine/glutamate ratio measured in vivo.	DOI: 10.1016/j.neuroimage.2015.02.014	The auditory P3 event-related potential (ERP) is thought to index cognitive processing relevant to attention and working memory processes. Drug challenge studies suggest that glutamate neurotransmission plays an important role in modulating P3 ERP. However, while direct links between glutamate activity and P3 ERP response in humans are suspected, mechanistic details remain largely unknown. We investigated here the relationships between P3 ERP and indices of glutamatergic processing measured in vivo with proton magnetic resonance spectroscopy ((1)H MRS). We hypothesized that a higher index of glutamatergic processing (glutamine/glutamate ratio; abbreviated Gln/Glu) in the anterior cingulate (ACC) and in the parietal-occipital (POC) cortices would associate with larger frontal P3a and parietal P3b amplitudes, respectively.	['Adult', 'Event-Related Potentials, P300physiology', 'Evoked Potentials, Auditoryphysiology', 'Female', 'Frontal Lobemetabolismphysiology', 'Glutamic Acidmetabolism', 'Glutaminemetabolism', 'Gyrus Cingulimetabolismphysiology', 'Humans', 'Magnetic Resonance Spectroscopymethods', 'Male', 'Young Adult']	https://pubmed.ncbi.nlm.nih.gov/25687595/	['L-Glutamic Acid', 'L-glutamine']	[33032, 5961]	25687595	['2015', 'May']
Familial Creutzfeldt-Jakob disease with the E200K mutation: longitudinal neuroimaging from asymptomatic to symptomatic CJD.	DOI: 10.1007/s00415-014-7615-1	"Familial Creutzfeldt-Jakob disease (fCJD) in Jews of Libyan ancestry is caused by an E200K mutation in the PRNP gene. While carriers are born with this mutation, they usually remain asymptomatic until middle age. Early detection of conversion is crucial for understanding and eventually for the treatment of the disease. The aim of this study was to report longitudinal MRI data in E200K individuals who eventually converted from healthy mutation carriers to clinically symptomatic CJD. As a part of a prospective study, asymptomatic E200K mutation carriers were scanned annually until their conversion to symptomatic disease. Standardized diffusion and anatomical MR sequences were performed before and after clinical conversion in the subjects and those were compared to 15 non-carrier siblings (""healthy controls""). Blinded radiological readings and region of interest analyses were performed. Radiological readings of individual cases failed to detect characteristic changes in the scans taken before the conversion. Region of interest analysis of diffusion changes in pre-symptomatic stage was inconclusive; however, ADC reduction was found in early and late stages of the disease. Computerized volumetric analysis revealed monotonic volume reductions in thalamus, putamen and caudate following conversion, and the lateral ventricles showed dilatation of up to 62 % after clinical conversion. Although the clinical manifestations at disease onset are variable, the diffusion abnormalities and/or volume changes in the thalamus and basal ganglia during conversion may indicate early involvement of the thalamostriatal neuronal circuit."	['Adult', 'Brainpathology', 'Creutzfeldt-Jakob Syndromediagnosisgeneticsphysiopathology', 'Electroencephalography', 'Female', 'Glutamic Acidgenetics', 'Humans', 'Image Processing, Computer-Assisted', 'Longitudinal Studies', 'Lysinegenetics', 'Magnetic Resonance Imaging', 'Male', 'Mental Status Schedule', 'Middle Aged', 'Mutationgenetics', 'Neuroimaging', 'Prion Proteins', 'Prionsgenetics']	https://pubmed.ncbi.nlm.nih.gov/25522698/	['L-Glutamic Acid', 'L-lysine']	[33032, 5962]	25522698	['2015', 'Mar']
Narcolepsy patients have antibodies that stain distinct cell populations in rat brain and influence sleep patterns.	DOI: 10.1073/pnas.1412189111	Narcolepsy is a chronic sleep disorder, likely with an autoimmune component. During 2009 and 2010, a link between A(H1N1)pdm09 Pandemrix vaccination and onset of narcolepsy was suggested in Scandinavia. In this study, we searched for autoantibodies related to narcolepsy using a neuroanatomical array: rat brain sections were processed for immunohistochemistry/double labeling using patient sera/cerebrospinal fluid as primary antibodies. Sera from 89 narcoleptic patients, 52 patients with other sleep-related disorders (OSRDs), and 137 healthy controls were examined. Three distinct patterns of immunoreactivity were of particular interest: pattern A, hypothalamic melanin-concentrating hormone and proopiomelanocortin but not hypocretin/orexin neurons; pattern B, GABAergic cortical interneurons; and pattern C, mainly globus pallidus neurons. Altogether, 24 of 89 (27%) narcoleptics exhibited pattern A or B or C. None of the patterns were exclusive for narcolepsy but were also detected in the OSRD group at significantly lower numbers. Also, some healthy controls exhibited these patterns. The antigen of pattern A autoantibodies was identified as the common C-terminal epitope of neuropeptide glutamic acid-isoleucine/α-melanocyte-stimulating hormone (NEI/αMSH) peptides. Passive transfer experiments on rat showed significant effects of pattern A human IgGs on rapid eye movement and slow-wave sleep time parameters in the inactive phase and EEG θ-power in the active phase. We suggest that NEI/αMSH autoantibodies may interfere with the fine regulation of sleep, contributing to the complex pathogenesis of narcolepsy and OSRDs. Also, patterns B and C are potentially interesting, because recent data suggest a relevance of those brain regions/neuron populations in the regulation of sleep/arousal.	['Adolescent', 'Adult', 'Animals', 'Autoantibodiesbloodimmunology', 'Brainimmunologypathology', 'Colchicineanalogs & derivativespharmacology', 'Electroencephalography', 'Globus Pallidusimmunologypathology', 'Hippocampusimmunologypathology', 'Humans', 'Immunoglobulin Gblood', 'Interneuronsimmunologypathology', 'Male', 'Mice', 'Mice, Inbred C57BL', 'Mice, Transgenic', 'Narcolepsyimmunologypathology', 'Neocorteximmunologypathology', 'Nerve Tissue Proteinsmetabolism', 'Olfactory Bulbimmunologypathology', 'Rats', 'Rats, Wistar', 'Sleepphysiology', 'Young Adult']	https://pubmed.ncbi.nlm.nih.gov/25136085/	['L-Glutamic Acid', 'melanin-concentrating hormone', 'melanin', 'L-isoleucine']	[33032, 16167454, 6325610, 6306]	25136085	['2014', 'Sep']
Sleep spindles are related to schizotypal personality traits and thalamic glutamine/glutamate in healthy subjects.	DOI: 10.1093/schbul/sbu109	Schizophrenia is a severe mental disorder affecting approximately 1% of the worldwide population. Yet, schizophrenia-like experiences (schizotypy) are very common in the healthy population, indicating a continuum between normal mental functioning and the psychosis found in schizophrenic patients. A continuum between schizotypy and schizophrenia would be supported if they share the same neurobiological origin. Two such neurobiological markers of schizophrenia are: (1) a reduction of sleep spindles (12-15 Hz oscillations during nonrapid eye movement sleep), likely reflecting deficits in thalamo-cortical circuits and (2) increased glutamine and glutamate (Glx) levels in the thalamus. Thus, this study aimed to investigate whether sleep spindles and Glx levels are related to schizotypal personality traits in healthy subjects.	['Adult', 'Brain Wavesphysiology', 'Glutamic Acidmetabolism', 'Glutaminemetabolism', 'Humans', 'Male', 'Schizotypal Personality Disorderphysiopathology', 'Sleepphysiology', 'Thalamusmetabolism', 'Young Adult']	https://pubmed.ncbi.nlm.nih.gov/25074975/	['L-Glutamic Acid', 'L-glutamine']	[33032, 5961]	25074975	['2015', 'Mar']
Marked reductions in visual evoked responses but not γ-aminobutyric acid concentrations or γ-band measures in remitted depression.	DOI: 10.1016/j.biopsych.2012.09.032	Magnetic resonance spectroscopy (MRS) studies have consistently demonstrated reduced cortical γ-aminobutyric acid (GABA) concentrations in individuals with major depression. However, evidence for a persistent deficit during remission, which would suggest that GABA dysfunction is a possible trait marker of depression, is equivocal. Although MRS measures total concentration of GABA, magneto-encephalography provides direct measures of neural activity, with cortical γ oscillations shaped by the activity of GABAergic inhibitory interneurons. In this study we investigated whether γ oscillations and GABA concentrations would differ in individuals with remitted depression (RD) compared with never depressed control subjects (ND).	['Adolescent', 'Adult', 'Brainmetabolismphysiology', 'Brain Wavesphysiology', 'Case-Control Studies', 'Depressiondiagnosismetabolismphysiopathology', 'Evoked Potentials, Visualphysiology', 'Female', 'Functional Neuroimagingpsychology', 'Glutamic Acidmetabolism', 'Glutaminemetabolism', 'Humans', 'Visual Cortexphysiology', 'gamma-Aminobutyric Acidmetabolism']	https://pubmed.ncbi.nlm.nih.gov/23200528/	['L-Glutamic Acid', 'L-glutamine']	[33032, 5961]	23200528	['2013', 'Apr']
Familial hemiplegic migraine.		Familial hemiplegic migraine (FHM) is a rare, dominantly inherited subtype of migraine with aura, where hemiplegia occurs during the aura phase. Mutation screening of families with FHM has revealed a range of different mutations. The mutated FHM genes code for ion transport proteins. Animal and cellular studies have associated the mutated FHM genes with disturbed ion homeostasis, altered cellular excitability and altered neurotransmitter release. Abnormal cortical excitability due to dysfunctional ion-channels might facilitate cortical spreading depression (CSD) and thereby migraine aura and migraine headache. Genotyped FHM patients offer us the chance to study the interplay between genotype and phenotype and may be regarded as a genetic migraine model. FHM studies might open for a better understanding of the molecular migraine pathology, and potentially help to unravel the pathogenesis of the more common migraine forms. We have therefore studied genotyped FHM patients to understand the effect of genotype on the response to migraine provoking substances. We show here that two known migraine triggers failed to induce more migraine aura or migraine headache in FHM-patients than in healthy controls, thus indicating that the FHM genotype does not confer hypersensitivity to these migraine triggers. This has implications for our understanding of the headache mechanisms and raises the question whether FHM share neurobiological background with the common types of migraine. The aims of the present thesis were to test the hypothesis that FHM mutations might be associated with hypersensitivity to known migraine triggers and, thereby, share pathophysiological pathways with the common types of migraine, but our results disprove this hypothesis. Thus, FHM seems very different from MO and MA, both genetically and pathophysiologically. The fact that FHM genes regulate ion homeostasis cannot be extrapolated to the common types of migraine.	['Adult', 'Animals', 'Calcitonin Gene-Related Peptidemetabolism', 'Calcium Channelsgenetics', 'Cerebrovascular Circulation', 'Disease Models, Animal', 'Echoencephalography', 'Electroencephalography', 'Evoked Potentials', 'Female', 'Genetic Association Studies', 'Glutamic Acidphysiology', 'Hemodynamics', 'Humans', 'Male', 'Middle Aged', 'Migraine with Auraclassificationgeneticsphysiopathology', 'Mutation', 'Nitric Oxidemetabolism', 'Phenotype']	https://pubmed.ncbi.nlm.nih.gov/20816023/	['L-Glutamic Acid', 'Calcium']	[33032, 5460341]	20816023	['2010', 'Sep']
